1 2 3 4 5 6;
2 2 0 0 0 1.8;
1 2 3 4 5 6;
2 2 0 0 0 1.8;
8 2 1 4 5 1;
3 3 2 1 4 10;
4 5 2 9 7 1;
0 0 4 3 3 2;
1 2 3 4 5 6;
2 2 0 0 0 1.8;
1 2 3 4 5 6;
2 2 0 0 0 1.8;
8 2 1 4 5 1;
3 3 2 1 4 10;
4 5 2 9 7 1;
0 0 4 3 3 2;
1 2 3 4 5 6;
2 2 0 0 0 1.8;
1 2 3 4 5 6;
2 2 0 0 0 1.8;
8 2 1 4 5 1;
3 3 2 1 4 10;
4 5 2 9 7 1;
0 0 4 3 3 2;
1 2 3 4 5 6;
2 2 0 0 0 1.8;
1 2 3 4 5 6;
2 2 0 0 0 1.8;
8 2 1 4 5 1;
3 3 2 1 4 10;
4 5 2 9 7 1;
0 0 4 3 3 2;
1 2 3 4 5 6;
2 2 0 0 0 1.8;
1 2 3 4 5 6;
2 2 0 0 0 1.8;
8 2 1 4 5 1;
3 3 2 1 4 10;
4 5 2 9 7 1;
0 0 4 3 3 2;
1 2 3 4 5 6;
2 2 0 0 0 1.8;
1 2 3 4 5 6;
2 2 0 0 0 1.8;
8 2 1 4 5 1;
3 3 2 1 4 10;
4 5 2 9 7 1;
0 0 4 3 3 2;
1 2 3 4 5 6;
2 2 0 0 0 1.8;
1 2 3 4 5 6;
2 2 0 0 0 1.8;
8 2 1 4 5 1;
3 3 2 1 4 10;
4 5 2 9 7 1;
0 0 4 3 3 2;
1 2 3 4 5 6;
2 2 0 0 0 1.8;
1 2 3 4 5 6;
2 2 0 0 0 1.8;
8 2 1 4 5 1;
3 3 2 1 4 10;
4 5 2 9 7 1;
0 0 4 3 3 2;
1 2 3 4 5 6;
2 2 0 0 0 1.8;
1 2 3 4 5 6;
2 2 0 0 0 1.8;
8 2 1 4 5 1;
3 3 2 1 4 10;
4 5 2 9 7 1;
0 0 4 3 3 2;
1 2 3 4 5 6;
2 2 0 0 0 1.8;
1 2 3 4 5 6;
2 2 0 0 0 1.8;
8 2 1 4 5 1;
3 3 2 1 4 10;
4 5 2 9 7 1;
0 0 4 3 3 2;

